編號,詞語,標籤,TL,POJ,TL/N.,POJ/N.,音檔,分類,類型
1,一,替,tsi̍t,chi̍t,chit8,chit8,1(1).mp3,性質、程度|數詞、量詞,主詞目
2,一,,it,it,it4,it4,2(1).mp3,性質、程度|數詞、量詞,主詞目
3,一刀兩斷,,it-to-lióng-tuān,it-to-lióng-toān,it4-to1-liong2-tuan7,it4-to1-liong2-toan7,3(1).mp3,交際應酬,主詞目
4,一下,,tsi̍t-ē,chi̍t-ē,chit8-e7,chit8-e7,4(1).mp3,性質、程度|助詞、嘆詞|副詞,主詞目
5,一月日,,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,chi̍t goe̍h-ji̍t/chi̍t ge̍h-li̍t,chit8 goeh8-jit8/chit8 geh8-lit8,chit8 goeh8-jit8/chit8 geh8-lit8,5(1).mp3,時間節令,主詞目
6,一日到暗,,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,chi̍t-ji̍t-kàu-àm/chi̍t-li̍t-kàu-àm,chit8-jit8-kau3-am3/chit8-lit8-kau3-am3,chit8-jit8-kau3-am3/chit8-lit8-kau3-am3,6(1).mp3,時間節令,主詞目
7,一世人,,tsi̍t-sì-lâng,chi̍t-sì-lâng,chit8-si3-lang5,chit8-si3-lang5,7(1).mp3,時間節令|生養老死,主詞目
8,一半,,tsi̍t-puànn,chi̍t-pòaⁿ,chit8-poann3,chit8-poaⁿ3,8(1).mp3,性質、程度|數詞、量詞,主詞目
9,一半个仔,,tsi̍t-puànn-ê-á,chi̍t-pòaⁿ-ê-á,chit8-poann3-e5-a2,chit8-poaⁿ3-e5-a2,9(1).mp3,數詞、量詞,主詞目
10,一半日仔,,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,chi̍t-pòaⁿ-ji̍t-á/chi̍t-pòaⁿ-li̍t-á,chit8-poann3-jit8-a2/chit8-poann3-lit8-a2,chit8-poaⁿ3-jit8-a2/chit8-poaⁿ3-lit8-a2,10(1).mp3,時間節令,主詞目
11,一四界,,tsi̍t-sì-kè/tsi̍t-sì-kuè,chi̍t-sì-kè/chi̍t-sì-kòe,chit8-si3-ke3/chit8-si3-koe3,chit8-si3-ke3/chit8-si3-koe3,11(1).mp3,空間方位,主詞目
12,一旦,,it-tàn,it-tàn,it4-tan3,it4-tan3,12(1).mp3,事、物泛稱|副詞,主詞目
13,一生,,it-sing,it-seng,it4-sing1,it4-seng1,13(1).mp3,時間節令|生養老死,主詞目
14,一目𥍉仔,,tsi̍t-ba̍k-nih-á,chi̍t-ba̍k-nih-á,chit8-bak8-nih4-a2,chit8-bak8-nih4-a2,14(1).mp3,時間節令,主詞目
15,一甲子,,tsi̍t kah-tsí,chi̍t kah-chí,chit8 kah4-chi2,chit8 kah4-chi2,15(1).mp3,時間節令|生養老死,主詞目
16,一百空一,,tsi̍t-pah khòng-it,chi̍t-pah khòng-it,chit8-pah4 khong3-it4,chit8-pah4 khong3-it4,16(1).mp3,數詞、量詞,主詞目
17,一來,,it--lâi,it--lâi,it4--lai5,it4--lai5,17(1).mp3,副詞,主詞目
18,一定,,it-tīng,it-tēng,it4-ting7,it4-teng7,18(1).mp3,時間節令|境況、狀態-擬事|副詞,主詞目
19,一直,,it-ti̍t,it-ti̍t,it4-tit8,it4-tit8,19(1).mp3,副詞,主詞目
20,一律,,it-lu̍t,it-lu̍t,it4-lut8,it4-lut8,20(1).mp3,副詞,主詞目
21,一致,,it-tì,it-tì,it4-ti3,it4-ti3,21(1).mp3,性質、程度,主詞目
22,一面,,tsi̍t-bīn,chi̍t-bīn,chit8-bin7,chit8-bin7,22(1).mp3,副詞,主詞目
23,一垺屎,,tsi̍t-pû-sái,chi̍t-pû-sái,chit8-pu5-sai2,chit8-pu5-sai2,23(1).mp3,廢棄物,主詞目
24,一屑仔,,tsi̍t-sut-á,chi̍t-sut-á,chit8-sut4-a2,chit8-sut4-a2,24(1).mp3,性質、程度,主詞目
25,一家伙仔,,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,chi̍t-ke-hóe-á/chi̍t-ke-hé-á,chit8-ke1-hoe2-a2/chit8-ke1-he2-a2,chit8-ke1-hoe2-a2/chit8-ke1-he2-a2,25(1).mp3,宗族、家庭,主詞目
26,一般,,it-puann,it-poaⁿ,it4-puann1,it4-poann1,26(1).mp3,性質、程度,主詞目
27,一粒一,,it-lia̍p-it,it-lia̍p-it,it4-liap8-it4,it4-liap8-it4,27(1).mp3,性質、程度,主詞目
28,一睏仔,,tsi̍t-khùn-á,chi̍t-khùn-á,chit8-khun3-a2,chit8-khun3-a2,28(1).mp3,時間節令,主詞目
29,一概,,it-khài,it-khài,it4-khai3,it4-khai3,29(1).mp3,性質、程度,主詞目
30,一路,,tsi̍t-lōo,chi̍t-lō͘,chit8-loo7,chit8-lo͘7,30(1).mp3,旅行,主詞目
31,一寡,,--tsi̍t-kuá,--chi̍t-kóa,--tsit8-kua2,--chit8-koa2,31(1).mp3,性質、程度,主詞目
32,一寡仔,,tsi̍t-kuá-á,chi̍t-kóa-á,chit8-koa2-a2,chit8-koa2-a2,32(1).mp3,性質、程度,主詞目
