編號,詞語,語源,義項,詞類,等級,標籤,TL,POJ,方言差,近義詞,反義詞,相關詞,附註,動詞變化,翻譯,,分類
1,一,,1,數,,,數目。,,,,,,,tsi̍t,chi̍t,https://sutian.moe.edu.tw/zh-hant/su/1/#1,性質、程度|數詞、量詞
1,一,,2,形,,,全部的、整個的。,,,2056#2840|7844#10878|7894#10949,,,,tsi̍t,chi̍t,https://sutian.moe.edu.tw/zh-hant/su/1/#2,性質、程度|數詞、量詞
1,一,,3,副,,,表示時間短、數量少、程度輕等。,,,,,,,tsi̍t,chi̍t,https://sutian.moe.edu.tw/zh-hant/su/1/#3,性質、程度|數詞、量詞
2,一,,4,數,,,數字。,,,174#245,,,,it,it,https://sutian.moe.edu.tw/zh-hant/su/2/#4,性質、程度|數詞、量詞
2,一,,5,形,,,極、最、第一的。,,,,,,,it,it,https://sutian.moe.edu.tw/zh-hant/su/2/#5,性質、程度|數詞、量詞
2,一,,6,形,,,相同的。,,,,,,,it,it,https://sutian.moe.edu.tw/zh-hant/su/2/#6,性質、程度|數詞、量詞
2,一,,7,副,,,整個地、全部地。,,,,,,,it,it,https://sutian.moe.edu.tw/zh-hant/su/2/#7,性質、程度|數詞、量詞
3,一刀兩斷,,8,熟,,,一刀斬成兩段，比喻斷絕關係。,,,,,,,it-to-lióng-tuān,it-to-lióng-toān,https://sutian.moe.edu.tw/zh-hant/su/3/#8,交際應酬
4,一下,,9,,,,動詞後綴。表示極短的時間或是短時間的動作。,,,17727#23043,,,,tsi̍t-ē,chi̍t-ē,https://sutian.moe.edu.tw/zh-hant/su/4/#9,性質、程度|助詞、嘆詞|副詞
4,一下,,10,副,,,表示兩個動作間的連續狀況，相當於華語「一……就……」。,,,,,,,tsi̍t-ē,chi̍t-ē,https://sutian.moe.edu.tw/zh-hant/su/4/#10,性質、程度|助詞、嘆詞|副詞
4,一下,,11,助,,,連接動詞及補語，相當於華語「得」。,,,,,,,tsi̍t-ē,chi̍t-ē,https://sutian.moe.edu.tw/zh-hant/su/4/#11,性質、程度|助詞、嘆詞|副詞
5,一月日,,12,時,,,一個月。,,,17730,,,,tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t,chi̍t goe̍h-ji̍t/chi̍t ge̍h-li̍t,https://sutian.moe.edu.tw/zh-hant/su/5/#12,時間節令
6,一日到暗,,13,熟,,,一天到晚、從早到晚，整天。,,,14292#19313|19034,,,,tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm,chi̍t-ji̍t-kàu-àm/chi̍t-li̍t-kàu-àm,https://sutian.moe.edu.tw/zh-hant/su/6/#13,時間節令
7,一世人,,14,名,,,一輩子。,,,13#22|7855#10894|7919#10996,,,,tsi̍t-sì-lâng,chi̍t-sì-lâng,https://sutian.moe.edu.tw/zh-hant/su/7/#14,時間節令|生養老死
8,一半,,15,名,,,二分之一。,,,,,,,tsi̍t-puànn,chi̍t-pòaⁿ,https://sutian.moe.edu.tw/zh-hant/su/8/#15,性質、程度|數詞、量詞
8,一半,,16,形,,,表示次數很少。,,,,,,,tsi̍t-puànn,chi̍t-pòaⁿ,https://sutian.moe.edu.tw/zh-hant/su/8/#16,性質、程度|數詞、量詞
9,一半个仔,,17,名,,,幾個、一兩個、少數幾個。,,,,,,,tsi̍t-puànn-ê-á,chi̍t-pòaⁿ-ê-á,https://sutian.moe.edu.tw/zh-hant/su/9/#17,數詞、量詞
10,一半日仔,,18,熟,,,一兩天。,,,,,,,tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á,chi̍t-pòaⁿ-ji̍t-á/chi̍t-pòaⁿ-li̍t-á,https://sutian.moe.edu.tw/zh-hant/su/10/#18,時間節令
11,一四界,,19,副,,,遍地、到處。,,,284#416|10578#14508|10596#14527|27514#22070|27514#22071,,,,tsi̍t-sì-kè/tsi̍t-sì-kuè,chi̍t-sì-kè/chi̍t-sì-kòe,https://sutian.moe.edu.tw/zh-hant/su/11/#19,空間方位
12,一旦,,20,副,,,假使有一天。,,,,,,,it-tàn,it-tàn,https://sutian.moe.edu.tw/zh-hant/su/12/#20,事、物泛稱|副詞
12,一旦,,21,名,,,短暫的時間。,,,,,,,it-tàn,it-tàn,https://sutian.moe.edu.tw/zh-hant/su/12/#21,事、物泛稱|副詞
13,一生,,22,名,,,畢生、一輩子。,,,7#14|7855#10894|7919#10996,,,,it-sing,it-seng,https://sutian.moe.edu.tw/zh-hant/su/13/#22,時間節令|生養老死
14,一目𥍉仔,,24,時,,,一瞬間、一眨眼。指很短暫的時間。,,,28#42|34#49|17727#23043|17729,27257#21887,,,tsi̍t-ba̍k-nih-á,chi̍t-ba̍k-nih-á,https://sutian.moe.edu.tw/zh-hant/su/14/#24,時間節令
15,一甲子,,25,時,,,六十年。由十二天干數和十地支數配合而形成的傳統計算年歲的方法，以六十年為一個輪迴。,,,,,,,tsi̍t kah-tsí,chi̍t kah-chí,https://sutian.moe.edu.tw/zh-hant/su/15/#25,時間節令|生養老死
16,一百空一,,26,數,,,一百零一。,,V743,,,,,tsi̍t-pah khòng-it,chi̍t-pah khòng-it,https://sutian.moe.edu.tw/zh-hant/su/16/#26,數詞、量詞
17,一來,,27,副,,,首先。,,,22319,,,,it--lâi,it--lâi,https://sutian.moe.edu.tw/zh-hant/su/17/#27,副詞
18,一定,,28,副,,,必定、必然。,,,1778#2448|3853#5384|8884#12231|12826#17433|29127#22855,460#627|1522#2113|8573#11838|8608#11878|8615#11888|12192#16622|28574#22735,,,it-tīng,it-tēng,https://sutian.moe.edu.tw/zh-hant/su/18/#28,時間節令|境況、狀態-擬事|副詞
18,一定,,29,形,,,固定的。,,,2508#3493|3716#5194|23733,28253|28254#22480,,,it-tīng,it-tēng,https://sutian.moe.edu.tw/zh-hant/su/18/#29,時間節令|境況、狀態-擬事|副詞
19,一直,,30,副,,,朝同一個方向直行而去。,,,4389#6180,,,,it-ti̍t,it-ti̍t,https://sutian.moe.edu.tw/zh-hant/su/19/#30,副詞
19,一直,,31,副,,,持續不間斷。,,,4373#6149|4389#6181|27561#22097,,,,it-ti̍t,it-ti̍t,https://sutian.moe.edu.tw/zh-hant/su/19/#31,副詞
20,一律,,32,副,,,全部都一樣。,,,29#44,,,,it-lu̍t,it-lu̍t,https://sutian.moe.edu.tw/zh-hant/su/20/#32,副詞
21,一致,,33,形,,,趨向相同。,,,1360#1869|5234#7340,,,,it-tì,it-tì,https://sutian.moe.edu.tw/zh-hant/su/21/#33,性質、程度
22,一面,,34,副,,,描述兩種以上的事情同時進行著。,,,,,,,tsi̍t-bīn,chi̍t-bīn,https://sutian.moe.edu.tw/zh-hant/su/22/#34,副詞
22,一面,,35,形,,,片面的，單方面的。,,,,,,,tsi̍t-bīn,chi̍t-bīn,https://sutian.moe.edu.tw/zh-hant/su/22/#35,副詞
23,一垺屎,,36,名,,,一坨屎、一坨大便。,,V744,36#51|4855#6804,,,,tsi̍t-pû-sái,chi̍t-pû-sái,https://sutian.moe.edu.tw/zh-hant/su/23/#36,廢棄物
24,一屑仔,,37,形,,,一點點。形容體積很小或數量很少。,,,32#47|35#50|13869#18759|17732|29236#22922,,,,tsi̍t-sut-á,chi̍t-sut-á,https://sutian.moe.edu.tw/zh-hant/su/24/#37,性質、程度
25,一家伙仔,,38,名,,,一家子。全家人、同一家人。,,,14293#19314,,,,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,chi̍t-ke-hóe-á/chi̍t-ke-hé-á,https://sutian.moe.edu.tw/zh-hant/su/25/#38,宗族、家庭
26,一般,,39,形,,,普遍性的、平常的。,,,,,,,it-puann,it-poaⁿ,https://sutian.moe.edu.tw/zh-hant/su/26/#39,性質、程度
27,一粒一,,40,形,,,最好的、第一流的。,,,,,,,it-lia̍p-it,it-lia̍p-it,https://sutian.moe.edu.tw/zh-hant/su/27/#40,性質、程度
27,一粒一,,41,形,,,最投契的。,,,,,,,it-lia̍p-it,it-lia̍p-it,https://sutian.moe.edu.tw/zh-hant/su/27/#41,性質、程度
28,一睏仔,,42,副,,,一陣子、一會兒。,,,14#24|14577#19665|17727#23043,27257#21887,,,tsi̍t-khùn-á,chi̍t-khùn-á,https://sutian.moe.edu.tw/zh-hant/su/28/#42,時間節令
28,一睏仔,,43,副,,,一口氣。,,,,,,,tsi̍t-khùn-á,chi̍t-khùn-á,https://sutian.moe.edu.tw/zh-hant/su/28/#43,時間節令
29,一概,,44,副,,,一律、完全。,,,20#32|22176,,,,it-khài,it-khài,https://sutian.moe.edu.tw/zh-hant/su/29/#44,性質、程度
30,一路,,45,名,,,沿途、路上。,,,,,,,tsi̍t-lōo,chi̍t-lō͘,https://sutian.moe.edu.tw/zh-hant/su/30/#45,旅行
31,一寡,,46,形,,,一些、少許，也可以單說「寡」(--kuá)。,一些、少許，也可以單說「寡」(--kóa)。,,35#50|17732,,,,--tsi̍t-kuá,--chi̍t-kóa,https://sutian.moe.edu.tw/zh-hant/su/31/#46,性質、程度
32,一寡仔,,47,形,,,一點點、一些些。,,,24#37|35#50|7566#10511|13869#18759|29236#22922,,,,tsi̍t-kuá-á,chi̍t-kóa-á,https://sutian.moe.edu.tw/zh-hant/su/32/#47,性質、程度
33,一對時,,48,時,,,一晝夜、二十四小時。,,,,,,,tsi̍t tuì-sî,chi̍t tùi-sî,https://sutian.moe.edu.tw/zh-hant/su/33/#48,時間節令
34,一霎仔久,,49,副,,,一瞬間、一下子。形容很短的時間。,,,14#24|17727#23043|17729,27257#21887,,,tsi̍t-tiap-á-kú,chi̍t-tiap-á-kú,https://sutian.moe.edu.tw/zh-hant/su/34/#49,時間節令
35,一點仔,,50,形,,,一點兒、一 點點。形容數量極少。,,,24#37|31#46|32#47|13869#18759|17732|29236#22922,,,,tsi̍t-tiám-á,chi̍t-tiám-á,https://sutian.moe.edu.tw/zh-hant/su/35/#50,性質、程度
36,一礐屎,,51,名,,,一糞坑的大便。,,,23#36|4855#6804,,,,tsi̍t-ha̍k-sái,chi̍t-ha̍k-sái,https://sutian.moe.edu.tw/zh-hant/su/36/#51,廢棄物|境況、狀態-擬人|境況、狀態-擬物
36,一礐屎,,52,形,,,形容一群無用的人或東西。,,,,,,,tsi̍t-ha̍k-sái,chi̍t-ha̍k-sái,https://sutian.moe.edu.tw/zh-hant/su/36/#52,廢棄物|境況、狀態-擬人|境況、狀態-擬物
37,一觸久仔,,53,時,,,一會兒、一下子。,,,17727#23043,27257#21887,,,tsi̍t-tak-kú-á,chi̍t-tak-kú-á,https://sutian.moe.edu.tw/zh-hant/su/37/#53,時間節令
38,乙,,54,名,,,天干的第二位。,,,,,,,it,it,https://sutian.moe.edu.tw/zh-hant/su/38/#54,時間節令|性質、程度
38,乙,,55,形,,,次序或等級屬於第二的。,,,,,,,it,it,https://sutian.moe.edu.tw/zh-hant/su/38/#55,時間節令|性質、程度
39,丁,,56,名,,,天干的第四位，也指排序或等級為第四。,,,,,,,ting,teng,https://sutian.moe.edu.tw/zh-hant/su/39/#56,時間節令|泛稱|宗族、家庭
